,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
50,atuona,-9.8,-139.0333,80.74,73,40,18.7,PF,1618713493
51,padang,-0.9492,100.3543,78.8,83,20,1.14,ID,1618713493
52,gayeri,12.6497,0.4931,86.5,39,90,10.09,BF,1618713493
53,butaritari,3.0707,172.7902,82.6,75,99,9.46,KI,1618713494
54,nalut,30.3333,10.85,59.2,66,100,12.46,LY,1618713494
55,bayanday,53.0661,105.5139,30.2,38,47,8.75,RU,1618713494
56,pevek,69.7008,170.3133,27.01,81,7,18.45,RU,1618713495
57,ribeira grande,42.7461,-8.4439,43.0,75,0,10.36,ES,1618713495
58,tromso,69.6496,18.957,39.2,65,0,12.66,NO,1618713495
59,loiza,18.4313,-65.8802,80.6,69,1,3.44,PR,1618713496
60,atambua,-9.1061,124.8925,82.96,60,74,1.36,ID,1618713496
61,san patricio,13.3034,-4.8956,86.79,30,100,7.65,ML,1618713496
62,bilibino,68.0546,166.4372,26.4,68,3,6.49,RU,1618713496
63,vila velha,42.0304,-8.1588,43.0,85,100,1.99,PT,1618713497
64,port lincoln,-7.0349,29.7638,70.7,81,100,3.83,CD,1618713488
65,vaini,-21.2,-175.2,80.6,65,40,5.75,TO,1618713497
66,norman wells,35.2226,-97.4395,50.0,66,90,9.22,US,1618713200
67,nioro,13.35,-15.75,78.21,34,100,4.47,GM,1618713498
68,airai,-8.9266,125.4092,72.21,58,75,4.34,TL,1618713498
69,tukrah,32.5341,20.5791,68.14,65,100,8.03,LY,1618713498
70,thinadhoo,0.5333,72.9333,82.44,62,28,6.35,MV,1618713499
71,basco,20.4487,121.9702,76.1,67,85,34.05,PH,1618713499
72,ixtapa,20.7,-105.2,75.2,73,1,6.91,MX,1618713499
73,dawson creek,31.7735,-84.4466,66.2,82,1,7.52,US,1618713500
74,popondetta,-8.7537,148.2534,89.51,54,98,7.27,PG,1618713500
75,caravelas,-17.7125,-39.2481,73.45,84,35,5.3,BR,1618713500
76,naples,40.8333,14.25,51.01,49,0,2.3,IT,1618713286
77,aklavik,68.2191,-135.0107,44.6,42,100,9.22,CA,1618713501
78,gambo,4.6482,22.2633,70.56,88,100,0.36,CF,1618713501
79,mahebourg,-20.4081,57.7,75.2,94,40,3.44,MU,1618713501
80,katangli,51.7102,143.2326,34.81,96,91,8.34,RU,1618713502
81,reconquista,-29.15,-59.65,67.57,89,0,5.95,AR,1618713502
82,beisfjord,68.3751,17.5988,36.0,84,41,1.99,NO,1618713502
83,kawalu,-7.3817,108.2082,84.51,58,98,3.02,ID,1618713503
84,kodiak,57.79,-152.4072,41.0,87,90,3.44,US,1618713503
85,ambulu,-8.345,113.6058,84.42,67,64,3.91,ID,1618713503
86,punta arenas,8.9897,125.34,82.38,74,100,10.2,PH,1618713504
87,westport,41.1415,-73.3579,50.0,44,100,4.34,US,1618713414
88,severo-kurilsk,50.6789,156.125,38.03,62,100,8.43,RU,1618713504
89,richards bay,46.8361,-95.9123,48.2,61,1,3.44,US,1618713504
90,hamilton,39.1834,-84.5333,46.99,87,1,3.44,US,1618713330
91,aroneanu,47.2,27.6,43.0,87,0,5.75,RO,1618713505
92,esperance,-33.8667,121.9,69.8,52,0,8.05,AU,1618713505
93,castro,-24.7911,-50.0119,56.44,95,4,2.66,BR,1618713505
94,vestmannaeyjar,63.4427,-20.2734,39.56,63,100,22.64,IS,1618713506
95,loa janan,38.4028,-111.643,37.99,55,25,5.01,US,1618713506
96,longyearbyen,78.2186,15.6401,28.4,80,75,2.3,SJ,1618713324
97,faanui,-16.4833,-151.75,82.38,72,41,7.02,PF,1618713506
98,mys shmidta,62.0589,48.6201,28.71,71,9,8.3,RU,1618713507
99,vao,-22.6667,167.4833,74.37,79,44,17.16,NC,1618713507
100,roald,62.5833,6.1333,42.01,60,0,10.36,NO,1618713507
101,port hardy,-7.0349,29.7638,70.7,81,100,3.83,CD,1618713508
102,yerbogachen,61.2767,108.0108,15.21,63,67,12.5,RU,1618713508
103,saldanha,-33.0117,17.9442,64.4,39,0,10.22,ZA,1618713508
104,georgetown,5.4112,100.3354,87.8,74,20,3.44,MY,1618713509
105,ozinki,51.1786,49.6769,52.75,81,98,7.4,RU,1618713509
106,sisimiut,66.9395,-53.6735,11.03,85,92,15.46,GL,1618713509
107,nome,64.5011,-165.4064,33.8,75,1,6.91,US,1618713509
108,alyangula,-13.8483,136.4192,86.0,51,97,11.5,AU,1618713510
109,dingle,10.9995,122.6711,88.25,48,100,15.03,PH,1618713510
110,smolenka,52.1352,113.4974,44.6,49,40,15.66,RU,1618713510
111,pisco,-13.7,-76.2167,66.99,88,0,10.36,PE,1618713511
112,sananduva,-27.9497,-51.8067,57.6,97,0,5.08,BR,1618713511
113,razole,16.4833,81.8333,84.2,79,40,3.44,IN,1618713511
114,gitarama,-2.0744,29.7567,55.04,95,73,0.85,RW,1618713512
115,bengkulu,-3.8004,102.2655,81.27,69,98,1.39,ID,1618713512
116,deputatskiy,69.3,139.9,17.08,78,100,19.77,RU,1618713512
117,kupang,-10.1667,123.5833,85.55,62,72,9.57,ID,1618713513
118,hithadhoo,-0.6,73.0833,82.02,63,69,4.12,MV,1618713513
119,upernavik,72.7868,-56.1549,4.75,87,100,7.05,GL,1618713513
120,tarauaca,-8.1614,-70.7656,71.76,95,100,2.21,BR,1618713514
121,noumea,-22.2763,166.4572,86.0,62,40,8.05,NC,1618713514
122,sao filipe,20.5113,76.2129,87.42,19,0,11.23,IN,1618713515
123,tsiroanomandidy,-18.7667,46.0333,62.55,87,5,5.66,MG,1618713515
124,istok,42.7808,20.4875,37.4,81,75,4.61,XK,1618713515
125,gimbi,9.1667,35.8333,59.92,48,58,3.42,ET,1618713515
126,cidreira,-30.1811,-50.2056,69.78,86,100,6.11,BR,1618713516
127,chokurdakh,70.6333,147.9167,20.03,89,77,7.65,RU,1618713516
128,khatanga,71.9667,102.5,2.17,90,100,13.47,RU,1618713516
129,klaksvik,62.2266,-6.589,46.4,93,100,27.63,FO,1618713517
130,ponta do sol,38.7333,-28.2667,56.98,86,29,15.99,PT,1618713517
131,dawei,14.0833,98.2,84.29,70,78,2.73,MM,1618713517
132,gorontalo,0.5412,123.0595,87.87,60,76,4.74,ID,1618713517
133,monte azul,42.4687,9.3916,52.0,71,75,3.44,FR,1618713518
134,salalah,17.0151,54.0924,77.0,61,20,2.3,OM,1618713518
135,oistins,13.0667,-59.5333,78.8,65,20,18.41,BB,1618713518
136,omaruru,-21.4333,15.9333,64.13,41,31,9.28,NA,1618713519
137,touros,-5.1989,-35.4608,77.0,94,75,3.44,BR,1618713519
138,pacific grove,38.482,-90.7415,50.0,78,40,1.01,US,1618713519
139,bredasdorp,-34.5322,20.0403,48.2,87,0,9.22,ZA,1618713520
140,kaitangata,-46.2817,169.8464,57.99,71,56,5.01,NZ,1618713520
141,rawson,-43.3002,-65.1023,59.77,72,96,19.44,AR,1618713520
142,luderitz,-26.6481,15.1594,76.53,39,6,6.15,NA,1618713521
143,araceli,10.5529,119.9913,83.86,72,100,8.57,PH,1618713521
144,kahului,20.8947,-156.47,77.0,69,40,16.11,US,1618713521
145,nemuro,43.3236,145.575,42.8,100,75,16.11,JP,1618713522
146,mayumba,-3.432,10.6554,78.4,89,100,3.36,GA,1618713522
147,puerto ayora,36.5939,-6.233,57.0,94,95,2.3,ES,1618713388
148,casablanca,33.5928,-7.6192,57.2,94,40,5.75,MA,1618713318
149,carnarvon,-24.8667,113.6333,81.34,42,25,3.69,AU,1618713523
150,correntina,-13.3433,-44.6367,74.25,54,87,2.86,BR,1618713523
151,wuda,39.4994,106.7117,59.05,22,1,10.67,CN,1618713523
152,sorochinsk,52.4338,53.1583,49.42,67,4,7.16,RU,1618713315
153,grand river south east,38.8755,-109.5012,52.0,17,1,14.97,US,1618713524
154,paragominas,-2.9667,-47.4833,71.67,97,100,2.01,BR,1618713524
155,victoria,22.2855,114.1577,78.01,59,67,7.0,HK,1618713353
156,boshan,36.4833,117.8333,62.82,15,0,10.8,CN,1618713524
157,altagracia de orituco,11.5662,-85.5784,82.4,78,100,17.38,NI,1618713525
158,borogontsy,62.6683,131.1683,22.95,70,100,9.86,RU,1618713525
159,grand-santi,4.25,-54.3833,70.48,98,80,1.83,GF,1618713525
160,savonlinna,61.8699,28.88,26.6,93,0,1.14,FI,1618713526
161,luanda,-8.8368,13.2343,78.8,78,20,4.61,AO,1618713526
162,east london,65.0,-15.0,46.4,81,75,13.8,IS,1618713526
163,glazunovka,52.4986,36.3275,38.88,96,100,4.81,RU,1618713527
164,beipiao,41.7919,120.7792,63.7,12,0,8.72,CN,1618713527
165,finschhafen,-6.6024,147.8681,81.99,80,98,6.69,PG,1618713527
166,sorong,-0.8833,131.25,84.74,68,86,10.04,ID,1618713528
167,sambava,-14.2667,50.1667,75.74,87,46,6.53,MG,1618713528
168,muisne,0.6,-80.0333,76.62,83,97,2.15,EC,1618713528
169,wamba,8.9333,8.6,75.54,78,100,3.11,NG,1618713529
170,sangar,63.9242,127.4739,18.75,82,100,8.28,RU,1618713529
171,carutapera,-1.195,-46.02,75.99,90,96,6.17,BR,1618713529
172,birigui,-21.2886,-50.34,67.26,90,80,4.14,BR,1618713529
173,burnie,-41.0667,145.9167,60.01,71,66,11.01,AU,1618713530
174,saskylakh,71.9167,114.0833,10.92,89,100,13.09,RU,1618713530
175,beringovskiy,63.05,179.3167,32.38,99,100,10.42,RU,1618713530
176,san miguel,13.3034,-4.8956,86.79,30,100,7.65,ML,1618713531
177,babu,24.4167,111.5167,69.19,88,99,0.87,CN,1618713484
178,sokoto,13.0609,5.239,84.99,8,25,5.95,NG,1618713406
179,cabedelo,-6.9811,-34.8339,73.4,100,0,5.75,BR,1618713531
180,biak,-0.9131,122.8766,83.41,65,72,4.61,ID,1618713532
181,polunochnoye,60.8697,60.4153,23.52,76,99,12.84,RU,1618713532
182,lavrentiya,65.5833,-171.0,31.55,89,58,7.58,RU,1618713532
183,celendin,-6.8703,-78.1517,52.65,88,81,3.24,PE,1618713533
184,kohima,25.6667,94.1167,75.13,38,6,3.51,IN,1618713533
185,pyshchug,58.8873,45.7134,35.8,84,17,6.51,RU,1618713533
186,torbay,47.6666,-52.7314,35.01,100,90,17.27,CA,1618713333
187,boddam,57.4667,-1.7833,39.2,87,23,6.91,GB,1618713534
188,margate,51.3813,1.3862,39.99,77,95,1.99,GB,1618713406
189,san luis,13.3034,-4.8956,86.79,30,100,7.65,ML,1618713531
190,ilulissat,69.2167,-51.1,8.6,61,90,17.27,GL,1618713534
191,escarcega,18.6089,-90.7454,85.77,56,68,4.56,MX,1618713534
192,port elizabeth,-7.0349,29.7638,70.7,81,100,3.83,CD,1618713488
193,shache,38.4167,77.2406,63.63,34,100,4.25,CN,1618713535
194,gasa,31.5,34.4667,62.6,63,0,3.44,PS,1618713535
195,nara,34.6851,135.8049,59.0,54,75,18.41,JP,1618713535
196,haines junction,59.2286,-135.4441,66.2,34,1,14.97,US,1618713536
197,fresnillo,23.1667,-102.8833,71.6,7,75,17.27,MX,1618713293
198,hasaki,35.7333,140.8333,70.0,39,20,18.41,JP,1618713536
199,calamar,10.2511,-74.9146,84.2,79,40,3.44,CO,1618713536
200,blagoyevo,63.3667,47.9167,27.03,65,10,7.61,RU,1618713537
201,tautira,-17.7333,-149.15,86.0,66,20,10.36,PF,1618713537
202,constitucion,-35.3333,-72.4167,55.29,89,100,3.4,CL,1618713537
203,bethel,41.3712,-73.414,46.4,66,90,3.44,US,1618713346
204,asyut,27.181,31.1837,69.8,35,0,5.82,EG,1618713538
205,souillac,-20.5167,57.5167,75.2,94,40,3.44,MU,1618713538
206,burgeo,47.6167,-57.6152,37.8,92,100,28.52,CA,1618713538
207,ponot,8.452,123.0222,83.64,75,100,12.41,PH,1618713539
208,saint-pierre,-21.3393,55.4781,71.6,88,75,8.05,RE,1618713539
209,adrar,20.5022,-10.0711,70.12,24,0,9.6,MR,1618713539
210,akyab,20.15,92.9,84.65,51,0,2.46,MM,1618713540
211,bac lieu,45.3919,19.2367,42.8,93,90,6.91,RS,1618713540
212,kamariotissa,40.4833,25.4667,51.8,87,20,3.44,GR,1618713540
213,atar,20.5169,-13.0499,72.1,25,0,8.1,MR,1618713541
214,cascais,38.6979,-9.4215,57.99,72,100,4.12,PT,1618713541
215,sinnamary,5.3833,-52.95,78.31,77,85,12.88,GF,1618713541
216,falkenberg,56.9055,12.4912,45.0,49,40,11.5,SE,1618713542
217,olinda,-8.0089,-34.8553,73.4,94,75,2.3,BR,1618713314
218,poum,-20.2333,164.0167,79.97,72,16,14.99,NC,1618713542
219,flinders,-34.5833,150.8552,71.01,62,30,3.0,AU,1618713542
220,bandarbeyla,9.4942,50.8122,80.1,80,22,1.83,SO,1618713543
221,novo aripuana,22.7847,-82.2251,78.8,83,20,4.61,CU,1618713543
222,mufulira,-12.5498,28.2407,54.95,95,25,7.52,ZM,1618713543
223,heihe,50.2441,127.4902,53.6,37,0,11.18,CN,1618713544
224,ossora,59.2353,163.0719,33.06,87,11,3.27,RU,1618713544
225,cabras,39.93,8.5314,48.0,77,100,5.99,IT,1618713544
226,provideniya,64.3833,-173.3,32.5,88,74,5.41,RU,1618713545
227,avera,33.194,-82.5271,66.2,63,90,4.94,US,1618713372
228,lahaina,20.8783,-156.6825,77.0,69,40,16.11,US,1618713545
229,necochea,-38.5473,-58.7368,61.0,95,78,3.0,AR,1618713545
230,nuuk,64.1835,-51.7216,15.8,48,40,12.66,GL,1618713546
231,erenhot,43.6475,111.9767,60.53,10,0,20.36,CN,1618713546
232,altar,30.7,-111.8167,75.0,15,0,3.0,MX,1618713547
233,yumen,40.2833,97.2,59.45,10,100,1.52,CN,1618713547
234,at-bashi,41.1702,75.8106,44.4,50,100,0.98,KG,1618713547
235,dangriga,16.9692,-88.2321,82.99,89,20,5.75,BZ,1618713547
236,mount gambier,53.6597,-1.8537,37.0,80,100,1.16,GB,1618713548
237,shivrajpur,22.4167,73.65,82.4,54,0,4.92,IN,1618713548
238,andenes,69.3143,16.1194,37.4,65,20,13.8,NO,1618713548
239,fairbanks,64.8378,-147.7164,55.4,32,1,9.22,US,1618713406
240,guerande,47.3291,-2.4283,39.2,81,0,3.44,FR,1618713549
241,nacala,-14.5428,40.6728,71.49,79,68,10.4,MZ,1618713549
242,fuerte olimpo,17.5381,120.3644,89.71,47,71,8.63,PH,1618713549
243,dhidhdhoo,6.8833,73.1,84.25,71,97,6.93,MV,1618713550
244,kruisfontein,-34.0033,24.7314,62.35,26,0,5.44,ZA,1618713550
245,falam,22.9167,93.6833,79.63,25,0,0.43,MM,1618713550
246,mahbubabad,17.6167,80.0167,87.96,51,18,10.67,IN,1618713551
247,axim,4.8699,-2.2405,79.95,82,100,6.64,GH,1618713551
248,lauterbach,50.6333,9.4,41.0,86,98,2.62,DE,1618713551
249,bambous virieux,-20.2567,57.4061,75.2,94,40,3.44,MU,1618713551
250,asau,46.4333,26.4,42.01,54,77,2.89,RO,1618713552
251,lompoc,34.6391,-120.4579,53.6,76,8,10.36,US,1618713552
252,kununurra,-15.7667,128.7333,84.2,24,70,12.66,AU,1618713370
253,thessalon,46.2501,-83.5666,33.8,80,1,5.75,CA,1618713552
254,golden,39.7555,-105.2211,39.2,41,40,6.91,US,1618713553
255,mandalgovi,45.7625,106.2708,56.48,14,8,13.53,MN,1618713553
256,alice springs,27.7523,-98.0697,66.2,77,90,3.44,US,1618713553
257,mezen,65.8522,44.24,24.69,71,23,5.61,RU,1618713554
258,mwinilunga,-11.7358,24.4293,59.92,73,95,9.19,ZM,1618713554
259,codrington,-38.2667,141.9667,64.42,61,82,12.41,AU,1618713554
260,havre-saint-pierre,50.2334,-63.5986,28.4,86,1,6.91,CA,1618713554
261,polovinnoye,54.7914,65.9864,43.81,68,19,9.8,RU,1618713555
262,abu kamal,24.6,72.7,76.15,26,0,2.62,IN,1618713555
263,aleppo,36.25,37.5,65.21,44,99,0.6,SY,1618713555
264,marand,38.4329,45.7749,50.0,57,0,2.3,IR,1618713556
265,phan thiet,19.5539,99.7405,79.0,94,75,2.3,TH,1618713556
266,hofn,64.2539,-15.2082,43.97,99,100,15.57,IS,1618713556
267,ouidah,6.3631,2.0851,84.2,84,40,6.91,BJ,1618713557
268,kaupanger,61.1845,7.2404,34.0,86,10,2.19,NO,1618713557
269,krasnoselkup,65.7,82.4667,-2.25,90,34,14.65,RU,1618713314
270,dargaville,-35.9333,173.8833,62.51,57,99,7.23,NZ,1618713557
271,mwene-ditu,-7.0,23.45,64.47,95,46,4.94,CD,1618713558
272,rabat,33.9911,-6.8401,59.0,94,40,4.52,MA,1618713558
273,hami,42.8,93.45,68.52,11,100,13.33,CN,1618713558
274,chulman,56.8479,124.9104,30.61,95,100,8.59,RU,1618713558
275,tual,-5.6667,132.75,81.25,78,100,14.12,ID,1618713559
276,hambantota,6.1241,81.1185,82.4,83,20,5.75,LK,1618713559
277,bani walid,18.2833,-70.3333,80.01,85,6,1.99,DO,1618713559
278,vanavara,60.34,102.2797,23.27,65,78,9.53,RU,1618713560
279,kamakhyanagar,20.9333,85.55,89.64,47,38,7.78,IN,1618713560
280,bonnyville,54.2668,-110.735,44.6,61,90,14.97,CA,1618713560
281,cayenne,4.9333,-52.3333,80.01,83,90,12.73,GF,1618713560
282,karratha,-20.7377,116.8463,88.99,37,0,16.22,AU,1618713561
283,nouadhibou,20.931,-17.0347,66.2,77,0,20.71,MR,1618713561
284,mitchell,43.7094,-98.0298,44.6,49,75,5.75,US,1618713561
285,lasa,46.6166,10.7002,37.0,74,0,5.75,IT,1618713562
286,waingapu,-9.6567,120.2641,85.35,63,95,9.78,ID,1618713562
287,potchefstroom,-26.7167,27.1,50.47,83,20,3.76,ZA,1618713562
288,fortuna,40.5982,-124.1573,53.01,100,1,9.22,US,1618713563
289,ishikawa,26.4233,127.8214,69.8,49,20,20.71,JP,1618713563
290,clyde river,41.3042,-82.9752,45.0,74,89,3.76,US,1618713563
291,tuensang,26.2833,94.8333,76.5,46,76,2.98,IN,1618713563
292,katsuura,35.1333,140.3,68.0,37,0,10.0,JP,1618713564
293,tuktoyaktuk,69.4541,-133.0374,26.6,80,75,10.36,CA,1618713564
294,payao,10.1833,122.95,85.35,56,100,16.11,PH,1618713564
295,phalombe,-15.8064,35.6507,58.33,94,91,4.29,MW,1618713565
296,lorengau,-2.0226,147.2712,84.69,66,81,5.77,PG,1618713565
297,luancheng,37.8792,114.6517,66.2,26,0,4.47,CN,1618713565
298,biltine,14.5333,20.9167,81.3,9,78,15.05,TD,1618713565
299,samarai,-10.6167,150.6667,84.61,73,89,13.53,PG,1618713566
300,kloulklubed,7.0419,134.2556,84.2,79,75,11.5,PW,1618713566
301,tongzi,28.7829,105.0877,61.34,86,100,2.01,CN,1618713566
302,marawi,7.9986,124.2928,82.99,78,100,7.0,PH,1618713567
303,grindavik,63.8424,-22.4338,35.6,75,75,14.97,IS,1618713567
304,belmonte,-15.8631,-38.8828,71.6,88,0,4.54,BR,1618713567
305,kenai,60.5544,-151.2583,53.6,42,1,13.8,US,1618713318
306,santa maria,17.486,120.4348,93.29,38,75,7.4,PH,1618713568
307,taoudenni,22.6783,-3.9836,79.45,16,0,9.95,ML,1618713568
308,banff,51.1762,-115.5698,57.2,21,37,3.44,CA,1618713456
309,sungairaya,0.7,108.9,75.02,91,100,3.94,ID,1618713568
310,college,64.8569,-147.8028,55.4,26,1,5.75,US,1618713569
311,maningrida,-12.0667,134.2667,88.2,48,98,13.27,AU,1618713569
312,cedar city,41.2122,-92.5257,55.4,30,40,3.44,US,1618713569
313,san cristobal,13.3034,-4.8956,86.79,30,100,7.65,ML,1618713496
314,valuyki,50.2035,38.1067,44.2,82,94,4.0,RU,1618713570
315,cairns,-16.9167,145.7667,82.0,83,75,11.5,AU,1618713570
316,kolobrzeg,54.1757,15.5834,39.99,100,66,9.22,PL,1618713570
317,ahuimanu,21.4447,-157.8378,80.6,64,40,11.5,US,1618713570
318,san lorenzo,13.3034,-4.8956,86.79,30,100,7.65,ML,1618713571
319,mtwara,-10.2667,40.1833,75.2,88,40,26.46,TZ,1618713571
320,yantzaza,-3.8278,-78.7594,67.05,98,100,0.87,EC,1618713571
321,sitka,57.0531,-135.33,53.6,66,75,4.43,US,1618713572
322,marsh harbour,53.6512,-1.8078,39.0,80,100,1.16,GB,1618713572
323,cocobeach,1.0002,9.5823,75.2,94,40,2.3,GA,1618713572
324,selenginsk,52.0064,106.8647,37.4,38,40,20.13,RU,1618713573
325,pangnirtung,66.1451,-65.7125,-0.4,84,20,7.96,CA,1618713573
326,akureyri,65.6835,-18.0878,35.6,100,90,6.91,IS,1618713573
327,emba,48.8264,58.1442,54.52,71,32,6.73,KZ,1618713574
328,hobyo,5.3505,48.5268,82.96,68,33,9.33,SO,1618713574
329,hirara,24.8,125.2833,71.6,53,20,20.71,JP,1618713425
330,sobolevo,54.4299,31.8996,42.96,84,51,12.95,RU,1618713574
331,erzin,36.9559,36.2,66.0,64,90,10.0,TR,1618713575
332,jiayuguan,39.8167,98.3,58.35,10,100,3.0,CN,1618713575
333,juneau,58.3019,-134.4197,64.4,36,40,3.44,US,1618713567
334,sao miguel do araguaia,20.5113,76.2129,87.42,19,0,11.23,IN,1618713515
335,otane,-39.8833,176.6333,66.99,56,23,4.0,NZ,1618713575
336,joshimath,30.5667,79.5667,58.21,56,19,1.61,IN,1618713576
337,akhtanizovskaya,45.32,37.1,48.2,87,100,11.18,RU,1618713576
338,manado,1.487,124.8455,91.4,52,20,9.22,ID,1618713576
339,najran,17.4924,44.1277,68.0,32,40,5.35,SA,1618713577
340,reo,12.3167,-2.4667,83.91,48,99,8.95,BF,1618713577
341,mecca,21.4267,39.8261,81.19,42,81,10.4,SA,1618713577
342,talnakh,69.4865,88.3972,-10.05,88,38,2.33,RU,1618713577
343,bangui,4.3612,18.555,80.6,78,0,2.95,CF,1618713578
344,kijang,35.2442,129.2139,59.0,36,40,11.5,KR,1618713578
345,leningradskiy,69.3833,178.4167,35.46,80,100,7.92,RU,1618713578
346,peniche,39.3558,-9.3811,55.0,92,100,1.9,PT,1618713579
347,key largo,32.7282,-101.7996,46.99,76,75,6.91,US,1618713579
348,santa rosa,17.486,120.4348,93.29,38,75,7.4,PH,1618713579
349,ahipara,-35.1667,173.1667,62.31,56,100,6.24,NZ,1618713580
350,likhoslavl,57.1275,35.464,39.61,81,4,9.42,RU,1618713580
351,kvareli,41.9524,45.8151,60.49,70,99,3.53,GE,1618713580
352,sorland,67.667,12.6934,41.49,70,98,10.27,NO,1618713581
353,mehamn,71.0357,27.8492,34.9,78,71,12.68,NO,1618713581
354,fort nelson,52.6517,6.3861,37.99,90,38,5.08,NL,1618713581
355,tunceli,39.1083,39.5471,48.2,81,0,5.75,TR,1618713581
356,segou,13.4317,-6.2157,83.84,42,60,7.0,ML,1618713582
357,nouakchott,18.0858,-15.9785,69.8,73,0,14.97,MR,1618713582
358,taicheng,38.731,113.228,57.13,13,0,5.5,CN,1618713582
359,geraldton,-28.7667,114.6,78.8,27,0,5.75,AU,1618713583
360,petropavlovsk-kamchatskiy,53.0452,158.6483,50.0,32,100,6.71,RU,1618713583
361,guerrero negro,17.6667,-100.0,69.6,61,0,5.84,MX,1618713583
362,merauke,-8.4667,140.3333,76.24,94,100,2.15,ID,1618713584
363,ostrovnoy,68.0531,39.5131,28.29,78,100,8.39,RU,1618713584
364,datong,40.0936,113.2914,56.89,13,0,7.78,CN,1618713584
365,san carlos de bariloche,13.3034,-4.8956,86.79,30,100,7.65,ML,1618713571
366,stepnyak,52.8339,70.7803,45.77,84,97,14.16,KZ,1618713585
367,revda,56.801,59.9303,37.4,56,0,11.18,RU,1618713585
368,nhulunbuy,-12.2333,136.7667,87.8,58,75,16.11,AU,1618713586
369,massakory,12.996,15.7293,82.65,8,90,9.84,TD,1618713586
370,ballangen,68.3428,16.8315,35.01,84,55,1.99,NO,1618713586
